,full_name,won
0,Cynthia Erivo,False
1,Scarlett Johansson,False
2,Lupita Nyong'O,False
3,Charlize Theron,False
4,Renã£ÂE Zellweger,True
5,Christian Bale,False
6,Leonardo Dicaprio,False
7,Adam Driver,False
8,Taron Egerton,False
9,Joaquin Phoenix,True
10,Laura Dern,True
11,Scarlett Johansson,False
12,Nicole Kidman,False
13,Jennifer Lopez,False
14,Margot Robbie,False
15,Jamie Foxx,False
16,Tom Hanks,False
17,Al Pacino,False
18,Joe Pesci,False
19,Brad Pitt,True
20,Jennifer Aniston,True
21,Helena Bonham Carter,False
22,Olivia Colman,False
23,Jodie Comer,False
24,Elisabeth Moss,False
25,Sterling K. Brown,False
26,Steve Carell,False
27,Billy Crudup,False
28,Peter Dinklage,True
29,David Harbour,False
30,Christina Applegate,False
31,Alex Borstein,False
32,Rachel Brosnahan,False
33,Catherine O'Hara,False
34,Phoebe Waller-Bridge,True
35,Alan Arkin,False
36,Michael Douglas,False
37,Bill Hader,False
38,Andrew Scott,False
39,Tony Shalhoub,True
40,Patricia Arquette,False
41,Toni Collette,False
42,Joey King,False
43,Emily Watson,False
44,Michelle Williams,True
45,Mahershala Ali,False
46,Russell Crowe,False
47,Jared Harris,False
48,Jharrel Jerome,False
49,Sam Rockwell,True
50,Andrew Dice Clay,False
51,Anthony Ramos,False
52,Bradley Cooper,False
53,Dave Chappelle,False
54,Lady Gaga,False
55,Rafi Gavron,False
56,Sam Elliott,False
57,Andy Serkis ,True
58,Angela Bassett,True
59,Chadwick Boseman,True
60,Danai Gurira,True
61,Daniel Kaluuya,True
62,Forest  Whitaker,True
63,Letitia Wright,True
64,Lupita Nyongã¢ÂÂO,True
65,Martin Freeman,True
66,Michael B. Jordan,True
67,Sterling K. Brown,True
68,Winston Duke,True
69,Adam Driver,False
70,Corey Hawkins,False
71,Harry Belafonte,False
72,John David Washington,False
73,Laura Harrier,False
74,Topher Grace,False
75,Aidan Gillen,False
76,Allen Leech,False
77,Ben Hardy,False
78,Gwilym Lee,False
79,Joe Mazzello,False
80,Lucy Boynton,False
81,Mike Myers,False
82,Rami Malek,False
83,Tom Hollander,False
