,nominee,WinGG,WinBAFTA,WinSAG
0,False,False,False,True
1, Topol,True,False,False
2,3 Men and a Cradle,False,False,False
"3,""4 Months, 3 Weeks And 2 Days"",False,False,False"
4,A Fantastic Woman,False,False,False
5,A Prophet (Un Prophete),False,False,False
6,A Royal Affair,False,False,False
7,A Separation,True,False,False
8,A Very Long Engagement,False,False,False
9,Aaron Eckhart,False,False,False
10,Aaron Taylor-Johnson,True,False,False
11,Abbey Lincoln,False,False,False
12,Adam Beach,False,False,False
13,Adam Driver,False,False,False
14,Adam Faith,False,False,False
15,Adam Sandler,False,False,False
16,Adolph Caesar,False,False,False
17,Adriana Barraza,False,False,False
18,Adrien Brody,False,False,False
19,Adrienne Barbeau,False,False,False
20,Agnes Moorehead,True,False,False
21,Aileen Quinn,False,False,False
22,Aimee Jaguar,False,False,False
23,Akim Tamiroff,True,False,False
24,Akira Kurosawa's Dreams,False,False,False
25,Al Pacino,True,True,True
26,Alan Alda,True,False,False
27,Alan Arkin,True,False,True
28,Alan Bates,False,False,True
29,Alan Rickman,True,True,True
30,Alan Thicke,False,False,False
31,Alastair Sim,False,False,False
32,Albert Brooks,False,False,False
33,Albert Finney,True,True,True
34,Alberto Sordi,True,False,False
35,Alec Baldwin,True,False,True
36,Alec Guinness,True,True,False
37,Alec McCowen,False,False,False
38,Alex Borstein,False,False,True
39,Alexander Knox,True,False,False
40,Alexandra Pigg,False,False,False
41,Alfie Bass,False,False,False
42,Alfre Woodard,True,False,True
43,Alfred Lutter,False,False,False
"44,""Alfredo, Alfredo"",False,False,False"
45,Ali MacGraw,True,False,False
46,Ali McGraw,False,False,False
47,Alicia Silverstone,False,False,False
48,Alicia Vikander,False,False,True
49,Alida Valli,False,False,False
50,Alison Brie,False,False,True
51,All About My Mother,True,False,False
52,All The Mornings of The World,False,False,False
53,Allison Janney,True,True,True
54,Allison Tolman,False,False,False
55,Allyce Beasley,False,False,False
56,Amanda Blake,False,False,False
57,Amanda Donohoe,True,False,False
58,Amanda Plummer,False,False,False
59,Amarcord,False,False,False
60,Amber Tamblyn,False,False,False
61,America Ferrera,True,False,True
62,Amores Perros,False,False,False
63,Amour,True,False,False
64,Amy Adams,True,False,True
65,Amy Brenneman,False,False,False
66,Amy Irving,False,False,True
