Actor,Followers,Is_In_IMDB,Score,EstimatedIncome
Junichi Kajioka,4253,0,8.410663933662425,37.134395541138844
Detlef Bothe,1033,0,6.569895563698331,28.895995208423784
Noah Saavedra,10867,0,9.626047914574317,37.85745879347584
Michael White,1502,0,7.185597384541708,32.92726333401046
Judi Dench,3076,0,7.8905267960858945,35.87923137164961
Neve Gachev,363,0,6.049866801396582,24.21944073174643
Kim Adis,19400,0,9.77314327215049,37.790708881368545
Michael Caine,5713,0,8.936261142981333,37.768902711648366
Gary Oldman,27058,0,10.211526024636662,37.45557496280108
Anne Hathaway,30824292,0,17.193759026948907,34.570352268883084
Tom Hardy,9709225,0,16.538724459853853,33.74709984167828
Joseph Gordon-Levitt,1314517,0,13.612221740708408,33.09861204164477
Morgan Freeman,4202095,0,15.292480851916013,32.76525405510429
Cillian Murphy,1921885,0,15.248807169777,32.748656224369256
Juno Temple,758929,0,14.131758536678754,32.78421837751557
Liam Neeson,41618,0,10.346222793072403,37.31832813547297
Matthew Modine,820290,0,13.792881218595392,32.96893968544626
Alon Aboutboul,14603,0,9.68634450990234,37.833216665741475
Ben Mendelsohn,30665,0,10.982738925901602,36.518074186045936
Nestor Carbonell,35044,0,11.07104010754402,36.39296306574417
Tom Conti,87,0,4.686259514466528,5.01661852970966
Joey King,18985094,0,16.695595527971882,33.92991658118606
Warren Brown,97408,0,11.480709514575322,35.7896066363615
Daniel Sunjata,538,0,5.870858756270142,22.305336775349303
Nick Julian,1710,0,7.36957100787493,33.85432955268769
Miranda Nolan,838,0,6.528860155434002,28.57197285553562
Claire Julien,29214,0,10.716130099092418,36.878486703760984
Aidan Gillen,7906,0,8.934819411059753,37.767909444492204
Reggie Lee,131697,0,11.719197848665438,35.43083277295128
Joseph Lyle Taylor,54937,0,10.860697766030574,36.68664600582184
Chris Ellis,6501,0,8.184231609692864,36.67278942328724
Duane Henry,28356,0,10.472111052498496,37.17812530324744
James Harvey Ward,61,0,4.144391191418983,-6.002727848552098
Gonzalo Menendez,795,0,6.72200045975873,30.03393781674353
Cameron Jack,4117,0,8.196652736981685,36.701365139822485
Lex Daniel,459,0,5.746204158044774,20.87347547133561
Tyler Dean Flores,11926,0,9.73410011486292,37.810915098869515
Thomas Lennon,207344,0,12.479986491746503,34.33146727056962
Trevor White,1875,0,7.2512375106632865,33.27165267297764
Rob Brown,97162,0,11.173258925497702,36.245407668598716
Chris Hill,46077,0,10.750903899973109,36.83320669479912
Jay Benedict,370,0,5.878414773853769,22.389479900233482
Will Estes,120058,0,11.845865693145868,35.240919835013074
David Dayan Fisher,2737,0,8.037452544995288,36.305061639069265
Glen Powell,868735,0,13.593986523319042,33.112861462767285
Russ Fega,727,0,6.867459721074045,31.032201295119137
Brent Briscoe,76,0,4.469252789797874,0.8631078837866824
John Nolan,22396,0,10.915363057838784,36.61181652610745
Oliver Cotton,4,0,1.4220376290323131,-101.71832589907393
Mark Killeen,474,0,6.357636148504249,27.139129309444343
Sarah Goldberg,1305,0,7.328127857381796,33.655764122006076
John MacMillan,17889,0,8.976612972203034,37.79517881165111
Robert Wisdom,2051,0,7.8962803457612765,35.89703348793674
Ronnie Gene Blevins,8736,0,9.199230703260774,37.88949354141735
John Hollingworth,720,0,6.638551216226118,29.421805199612578
Ian Bohen,2955624,0,12.957293577768407,33.733213388725204
Uri Gavriel,117,0,4.9370868740794265,9.409659709614942
Noel Gugliemi,383968,0,12.837378233649469,33.87420166091158
Patrick Cox,16728,0,9.930684498550672,37.69209314050653
Aramis Knight,99216,0,10.934228967863032,36.58572974429572
