Name,Followers,Score,Income
Avicii,6962463.0,16.54965143577911,28.0
Bradley Cooper,329179.0,12.995070746724918,46.0
Matthew McConaughey,8880114.0,,21.0
Vin Diesel,101760004.0,18.78281460894785,25.0
Kevin Spacey,602659.0,13.522465471152932,16.0
John Green,2168319.0,15.277911886826894,9.0
Amy Adams,940628.0,13.996136915470457,13.0
Bryan Cranston,5373715.0,15.251000907820213,7.0
Jon Hamm,54912.0,11.3635715282036,10.0
Kerry Washington,,,6.0
Kate Upton,6740602.0,15.972270474248402,7.0
Veronica Roth,185830.0,12.482840536398863,17.0
Garth Brooks,1910111.0,14.912164651463085,90.0
Fleetwood Mac,211685.0,12.358769622677322,59.5
Ed Sheeran,46015627.0,17.8997493532131,57.0
Jackie Chan,5702005.0,15.782382893989727,50.0
Ben Roethlisberger,42756.0,10.979923112497387,49.0
Rory McIlroy,2817077.0,14.980810471114632,48.5
Judy Sheindlin,38035.0,10.794954788969799,47.0
Michael BublÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,3519589.0,,
Jason Aldean,4435348.0,15.744186499294486,43.5
Luke Bryan,6784614.0,16.88954336391647,42.5
Drake,144215221.0,19.690576185196818,39.5
Lewis Hamilton,35327009.0,17.87830717488318,39.0
Zlatan Ibrahimovic,63890631.0,17.889035376998716,39.0
Ndamukong Suh,329007.0,13.0365811490929,38.5
Foo Fighters,5488725.0,16.088177131692643,38.0
Florida Georgia Line,2039370.0,14.173352811036159,36.5
Jimmy Buffett,512054.0,,36.0
Gareth Bale,53172822.0,16.69940628994461,35.0
Jon Lester,1642.0,7.813815437946478,34.0
Derrick Rose,1936374.0,14.76772579975906,34.0
Amitabh Bachchan,36079810.0,17.860852797225654,33.5
Salman Khan,67168185.0,18.204917876055863,33.5
Maroon 5,8893753.0,16.495469316021,33.0
Sebastian Vettel,3072438.0,15.597300239172565,33.0
Akshay Kumar,66652107.0,18.447729793969557,32.5
Zac Brown Band,1064748.0,14.760463950574119,32.0
Mahendra Singh Dhoni,46185484.0,18.24892139120778,31.0
Neymar,216463379.0,19.075317852554292,31.0
Carmelo Anthony,8214884.0,15.691950420509524,30.5
Jim Parsons,11015800.0,14.691254019942056,29.0
James Rodriguez,52098762.0,18.456426060190022,29.0
Kaley Cuoco-Sweeting,7953635.0,16.004379528525916,28.5
Miranda Lambert,4874205.0,15.479700092316547,28.5
Blake Shelton,6710118.0,14.505492614741284,28.5
The Weeknd,68052202.0,,55.0
Cam Newton,4761311.0,15.722516175740035,53.0
Jordan Spieth,1863536.0,14.107228568918968,53.0
Eli Manning,5745.0,8.800446533469215,45.0
Joe Flacco,108769.0,11.484984939290673,44.5
Bigbang,824140.0,12.860596773061593,44.0
Russell Wilson,5523570.0,16.026096846669013,42.0
Mumford & Sons,912941.0,14.230819726468594,40.0
Philip Rivers,564.0,6.4104852142082045,38.0
Marcell Dareus,48653.0,11.060920074212694,35.0
A.J. Green,448476.0,13.244776585089458,33.5
Kei Nishikori,526927.0,13.406462437310205,33.5
James Harden,100862.0,11.833862802557029,33.0
Shah Rukh Khan,43784484.0,18.223516630231686,33.0
Clayton Kershaw,568229.0,13.828427093494376,32.0
Guns N' Roses,7120674.0,16.727263603657928,84.0
Red Hot Chili Peppers,5694985.0,15.036258136689977,54.0
Andrew Luck,5073.0,8.377378251594411,50.0
Stephen Curry,55299173.0,17.690897496295783,47.3
Steve Harvey,11159989.0,16.682896556441353,42.5
Kylie Jenner,398996567.0,20.281972410064437,41.0
Russell Westbrook,23058608.0,16.651520081688847,38.6
Damian Lillard,10269884.0,16.46344635196465,38.4
The Chainsmokers,7033039.0,15.815455941872933,38.0
Amy Schumer,13144464.0,17.178769988600617,37.5
Dolly Parton,6452590.0,16.06677205563194,37.0
Billy Joel,655590.0,13.773185897410599,35.0
Conor McGregor,47043814.0,17.8616418814089,34.0
Fletcher Cox,371057.0,12.572436754635472,33.4
Chance The Rapper,19377215.0,16.494995051894914,33.0
Roger Waters,1304090.0,14.352624000361253,68.0
Matt Ryan,376003.0,13.24014819004074,67.3
Chris Hemsworth,57619684.0,18.020230676011796,64.5
Matthew Stafford,171436.0,12.379323786672728,59.5
Kendrick Lamar,13145902.0,17.099840363557412,58.0
Depeche Mode,1453124.0,14.647830878150076,53.0
Canelo Alvarez,16761840.0,16.716551934841096,44.5
Derek Carr,858535.0,13.383364089168357,42.1
Alex Smith,86343.0,11.764740845747031,41.4
Anthony Joshua,16006314.0,16.550319917841406,39.0
Kris Jenner,52835059.0,18.98574684774585,37.5
Trumaine Johnson,,,37.0
Imagine Dragons,7873262.0,15.370691333321606,36.5
Jimmy Garoppolo,1535674.0,14.614633836985927,36.2
Kyrie Irving,19715635.0,16.63427360062083,36.1
Giannis Antetokounmpo,16002877.0,16.410493900657997,35.5
J. Cole,8479183.0,16.458839741700377,35.5
Blake Griffin,3907623.0,15.243588390394113,35.5
Ryan Tannehill,266968.0,12.734766469913204,35.2
Von Miller,2092553.0,14.850429852572217,35.1
Nas,6860516.0,16.137929032947465,35.0
Aaron Rodgers,2311568.0,14.720688999603333,89.3
Travis Scott,5296071.0,16.41762932981528,58.0
BTS,74023431.0,15.548671328824302,57.0
Khalil Mack,527841.0,13.664943011126045,55.0
Mike Trout,2279148.0,14.92187841604366,50.6
Ariana Grande,381003667.0,19.704421620720087,48.0
DeMarcus Lawrence,583313.0,12.7186439389988,46.9
Bryce Harper,1799160.0,15.510740481682868,44.5
Chris Paul,11860855.0,15.976245817691971,43.8
Chris Evans,46697.0,10.78006862971006,43.5
Aaron Donald,1270745.0,13.557415685054265,41.4
Paul Rudd,198503.0,11.822588376252849,41.0
DJ Khaled,37806767.0,17.54183664174884,40.0
Marshmello,31909352.0,17.910573872257615,40.0
Paul George,10216398.0,15.1431745164048,38.6
Brandin Cooks,397176.0,13.17464504445211,38.0
Shawn Mendes,73643384.0,16.739101539524412,38.0
Bill Simmons,488390.0,13.490057505280564,82.5
Ryan Reynolds,50299710.0,16.285254125023265,71.5
Kirk Cousins,622805.0,14.06074850294756,60.5
Post Malone,24981460.0,18.270152767708556,60.0
Carson Wentz,923158.0,13.984873329080365,59.1
Tyson Fury,6771611.0,16.645510519961388,57.0
Sean Combs,1451.0,7.152855167562319,55.0
Billie Eilish,110293644.0,17.622291618394748,53.0
Kim Kardashian West,364146466.0,20.192194913068032,49.5
Jared Goff,379076.0,13.273121492358237,49.0
Deontay Wilder,2772827.0,15.221845763913404,46.5
Lin-Manuel Miranda,943482.0,14.180635106190627,45.5
Backstreet Boys,3924068.0,14.69840450348825,45.0
Phil Collins,910909.0,13.958677793738477,45.0
Sofia Vergara,31817575.0,17.747876798621803,
Julio Jones,1028966.0,14.449731628808973,40.5
Klay Thompson,16995545.0,15.51718430054929,38.8
Naomi Osaka,2710047.0,14.645489082235919,37.4
Mohamed Salah,63016345.0,17.653823883651622,35.1
