Actor,Followers,Is_In_IMDB,Score
Cameron Jack,4117,0,8.196652736981685
Lex Daniel,459,0,5.746204158044774
Tyler Dean Flores,11926,0,9.734100114862919
Thomas Lennon,207344,0,12.479986491746505
Trevor White,1875,0,7.2512375106632865
Rob Brown,97162,0,11.173258925497702
Chris Hill,46077,0,10.750903899973107
Jay Benedict,370,0,5.878414773853769
Will Estes,120058,0,11.845865693145868
David Dayan Fisher,2737,0,8.037452544995288
Glen Powell,868735,0,13.593986523319042
Russ Fega,727,0,6.867459721074045
Brent Briscoe,76,0,4.469252789797874
John Nolan,22396,0,10.915363057838784
Oliver Cotton,4,0,1.4220376290323133
Mark Killeen,474,0,6.357636148504249
Sarah Goldberg,1305,0,7.328127857381796
John MacMillan,17889,0,8.976612972203034
Robert Wisdom,2051,0,7.8962803457612765
Ronnie Gene Blevins,8736,0,9.199230703260774
John Hollingworth,720,0,6.638551216226118
Ian Bohen,2955624,0,12.957293577768409
Uri Gavriel,117,0,4.9370868740794265
Noel Gugliemi,383968,0,12.837378233649469
Patrick Cox,16728,0,9.930684498550672
Aramis Knight,99216,0,10.934228967863033
Josh Stewart,128904,0,10.808224158165096
William Devane,104607,0,10.189183231992528
David Gyasi,24082,0,10.069777614238369
Patrick Jordan,5707,0,8.609994515311369
Joshua Elijah Reese,1080,0,6.923678532515178
Desmond Harrington,14855,0,10.244264050323965
Tomas Arana,321,0,5.713649985540649
Peter Holden,644,0,6.654848720953576
David Monahan,2496,0,7.994557403953573
Jillian Armenante,23696,0,9.812607456701308
Aja Evans,22041,0,10.23222471235423
Aldous Davidson,614,0,6.808055750236119
Wade Williams,6195,0,8.810462626963169
Jake Canuso,46865,0,11.258338189258522
Massi Furlan,51456,0,10.842131324341375
Christopher Judge,49533,0,9.69159352931429
Patrick Leahy,43339,0,9.479702448429919
Todd Gearhart,100,0,4.683944090268419
Marc Abbink,87,0,4.5420819975429785
Isiah Adams,750,0,6.501423628198633
Charlie Alejandro,4401,0,8.440492892642444
Grant Babbitt,2341,0,7.626332696831328
Fileena Bahris,2448,0,7.796364792147855
Rick Bolander,109,0,4.7104872495573336
Scott Churchson,41325,0,11.153806725260994
Bill Cowher,1414,0,7.139248439295402
Graham Curry,516,0,6.321601536914918
Frank Fata,41854,0,10.233610619487195
Sam Harris,365239,0,12.402301792131814
Cindy Jackson,31840,0,9.972536321634243
Daniel Jordano,1711,0,7.3369167422482215
Tiffany Kemp,10,0,2.224134147679574
Alex Kruz,449,0,6.272824414106297
LeJon,67,0,4.056666064697499
Paul Jude Letersky,139501,0,11.30179829244984
Joe Lipari,980,0,6.796912510867382
Silvia Lombardo,1750,0,7.498837651098995
David Dale McCue,128,0,4.813890303373994
Olan Montgomery,1217,0,7.201230278741969
Alex Moore,14419,0,9.489989084216996
Shane Nolan,42903,0,11.324462155499997
Jackson Nunn,21609,0,9.62291449552152
Joseph O'Brien,120543,0,11.841458628796616
Kyle David Pierce,36094,0,10.853400827946986
Troy Polamalu,573993,0,13.61496465074157
Michael Power,7783,0,8.857195702607594
James Rawlings,785,0,6.317038322266927
Ben Roethlisberger,758,0,6.827589393875345
Mark Roman,573,0,6.350188591768704
Eric Salazar,933,0,6.786360892992473
Emily Schooley,1900,0,7.809592839921444
Thomas Tull,212,0,5.343650658782646
Vincent van Ommen,2361,0,7.516237707008313
Barbara Vincent,309,0,5.75438914464355
Jason Yee,552,0,6.153920951840726
John Zion,1549,0,6.976667678524275
Alex Ziwak,907,0,7.092420616215272
Tommy Bayiokos,2788,0,8.025336136145858
Mark Falvo,159,0,5.219040605668071
Diogo Hausen,1966,0,7.49352744301127
Gary Sievers,76,0,4.469279199607123
London May,5161,0,8.049242262924512
James Quinn,795,0,6.605646082927326
Daniel Newman,508814,0,12.284933429311524
Mark Strong,131662,0,11.803520665498237
CiarÃ¢ËÅ¡Ãâ°Ã¢Ëâ ÃÂ­Ã¢ËÅ¡Ãâ¡ÃÂ¬ÃÂ°n Hinds,1118,0,
Dominic West,8142,0,8.19108599709445
James Purefoy,4250,0,8.364303571449403
