Title,Genres,Keywords,Year,Main_nominations,Technical_nominations,Artistic_nominations,Main_winner,Technical_winner,Artistic_winner,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
The Noose,['Drama'],['hijack'],1927,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Last Command,"['Drama', 'History', 'War', 'Romance']","['hollywood', 'black and white', 'silent film', 'russian revolution (1917)', 'bolshevik', 'train wreck']",1927,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
A Ship Comes In,['Drama'],[],1927,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7th Heaven,"['Drama', 'Romance']","['optimism', 'based on play or musical', 'love', 'black and white', 'sewer', 'silent film', 'presumed dead', 'street cleaners']",1927,4,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Sadie Thompson,"['Drama', 'Romance']","['suicide', 'south seas', 'missionary', 'religion', 'silent film', 'u.s. marine', 'zealot', 'partially lost film', 'fallen woman']",1927,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Sunrise,"['Drama', 'Romance']","['adultery', 'lake', 'love triangle', 'pig', 'marriage crisis', 'country life', 'indian summer ', 'redemption', 'rural area', 'storm', 'silent film', 'farmer', 'troubled marriage', 'german expressionism']",1927,0,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Dove;,[],[],1927,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Devil Dancer;,"['Drama', 'Romance']","['silent film', 'lost film']",1927,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Two Arabian Knights,"['Adventure', 'Comedy', 'Romance']","['ship', 'escape', 'world war i', 'snowstorm', 'soldier', 'silent film', 'arab']",1927,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Speedy,"['Comedy', 'Family']","['grandfather', 'coney island', 'railroad', 'silent film', 'soda jerk', 'streetcar']",1927,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sorrell and Son,['Drama'],[],1927,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Crowd,"['Drama', 'Romance']","['new york city', 'marriage', 'tragedy', 'silent film']",1927,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Wings,"['Drama', 'Action', 'War', 'Romance']","['friendship', 'paris, france', 'love triangle', 'world war i', 'gay interest', 'battlefield', 'aerial combat', 'dogfight', 'black and white', 'warfare', 'silent film', 'us military', '1910s', 'fighter pilots']",1927,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
The Racket,"['Crime', 'Drama']","['bootlegger', 'reporter', 'silent film']",1927,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Jazz Singer,"['Drama', 'Music']","['new york city', 'dancer', 'parent child relationship', 'san francisco, california', 'jewish ghetto', 'generations conflict', 'jewish life', 'black and white']",1927,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Glorious Betsy,"['Drama', 'History']","['brother', 'napoleon bonaparte', 'maryland', 'talkie', 'heiress', 'frenchman']",1927,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Underworld,"['Drama', 'Crime', 'Romance']","['death sentence', 'prison escape', 'revenge', 'organized crime', 'alcoholic', 'silent film']",1927,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Private Life of Helen of Troy,['Comedy'],"['partially lost film', 'fragment']",1927,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thunderbolt,"['Crime', 'Drama']","['film noir', 'pre-code']",1928,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
In Old Arizona,"['Action', 'Western']","['arizona', 'outlaw', 'bandit', '19th century']",1928,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alibi,"['Action', 'Crime', 'Thriller']",['gangster'],1928,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Valiant,['Drama'],"['death row', 'mute']",1928,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Patriot,['Drama'],"['18th century', 'partially lost film']",1928,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Madame X,['Drama'],"['paris, france', 'blackmail', 'murder', 'pre-code', 'unforgiven', 'fallen woman']",1928,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Barker,"['Romance', 'Drama']",['carnival'],1928,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Letter,['Drama'],"['based on play or musical', 'pre-code']",1928,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Divine Lady,"['Drama', 'History', 'Romance', 'War']","['uncle', 'admiral', 'horatio nelson']",1928,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
The Broadway Melody,"['Music', 'Romance', 'Drama']","['new york city', 'dancing', 'musical', 'singer', 'singing', 'black and white', 'pre-code', 'vaudeville', 'wisecrack humor', 'broadway show', 'early sound film', 'partially lost film', 'vaudeville troupe']",1928,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Coquette,['Drama'],"['doctor', 'southern belle', 'flirtation']",1928,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Bridge of San Luis Rey,['Drama'],"['nun', 'bridge', 'pulitzer prize', 'priest']",1928,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Dynamite,['Drama'],"['wedding', 'divorce', 'will']",1928,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alibi;,"['Action', 'Crime', 'Thriller']",['gangster'],1928,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Street Angel,"['Drama', 'Romance']","['based on novel or book', 'circus', 'italy', 'naples, italy', 'jail']",1928,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Our Dancing Daughters,"['Drama', 'Romance']","['alcoholic', 'millionaire', 'silent film', 'flapper']",1928,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
White Shadows in the South Seas,"['Romance', 'Adventure', 'Drama']","['island', 'shipwreck', 'greed', 'doctor', 'alcoholic', 'native peoples', 'silent film', 'polynesia']",1928,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Four Devils;,"['Drama', 'Action']","['circus', 'trapeze', 'lost film']",1928,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Drag;,[],[],1928,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hollywood Revue,"['Comedy', 'Music']","['dancing', 'musical', 'revue', 'hollywood', 'singing', 'skit', 'all star', 'variety show']",1928,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
In Old Arizona;,"['Action', 'Western']","['arizona', 'outlaw', 'bandit', '19th century']",1928,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Cop;,[],[],1928,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Last of Mrs. Cheyney,"['Comedy', 'Drama']","['marriage proposal', 'robbery', 'thief', 'nobility', 'pearl']",1928,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A Woman of Affairs;,['Drama'],"['tragedy', 'honor', 'best friend', 'alcoholic', 'silent film', 'rowers', 'childhood sweethearts', 'meddling father']",1928,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Disraeli,"['Drama', 'History']","['spy', 'biography', 'based on play or musical', 'british prime minister', '19th century', 'suez canal']",1929,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
The Green Goddess,['Adventure'],"['revenge', 'pre-code', 'held hostage']",1929,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Big House,"['Crime', 'Drama']","['prison', 'prison cell', 'inmate', 'pre-code', 'manslaughter', 'incarceration', 'prison break attempt']",1929,2,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Big Pond,"['Romance', 'Comedy']","['daughter', 'tour guide', 'pre-code']",1929,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bulldog Drummond,"['Action', 'Thriller']",['bulldog drummond'],1929,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Rogue Song,"['Music', 'Romance']","['pre-code', 'partially lost film']",1929,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
The Devil's Holiday,"['Drama', 'Romance']","['obsession', 'pre-code', 'family disapproval', 'manicure']",1929,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Sarah and Son,['Drama'],"['pre-code', 'woman director']",1929,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Anna Christie,"['Drama', 'Romance']","['prostitute', 'based on play or musical', 'sailor', 'pre-code']",1929,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
