Catégorie : Toutes catégories

Semaine,Anderson Cooper: (États-Unis)
2022-11-06,15
2022-11-13,12
2022-11-20,10
2022-11-27,22
2022-12-04,11
2022-12-11,17
2022-12-18,18
2022-12-25,33
2023-01-01,100
2023-01-08,49
2023-01-15,14
2023-01-22,10
2023-01-29,10
2023-02-05,9
2023-02-12,10
2023-02-19,9
2023-02-26,8
2023-03-05,11
2023-03-12,11
2023-03-19,8
2023-03-26,10
2023-04-02,10
2023-04-09,10
2023-04-16,10
2023-04-23,15
2023-04-30,11
2023-05-07,53
2023-05-14,19
2023-05-21,15
2023-05-28,13
2023-06-04,15
2023-06-11,14
2023-06-18,13
2023-06-25,13
2023-07-02,8
2023-07-09,10
2023-07-16,11
2023-07-23,16
2023-07-30,11
2023-08-06,10
2023-08-13,10
2023-08-20,10
2023-08-27,16
2023-09-03,18
2023-09-10,14
2023-09-17,23
2023-09-24,21
2023-10-01,15
2023-10-08,23
2023-10-15,21
2023-10-22,15
2023-10-29,11
