Catégorie : Toutes catégories

Semaine,Klay Thompson: (États-Unis)
2022-11-20,33
2022-11-27,26
2022-12-04,16
2022-12-11,23
2022-12-18,18
2022-12-25,36
2023-01-01,36
2023-01-08,30
2023-01-15,23
2023-01-22,27
2023-01-29,21
2023-02-05,39
2023-02-12,25
2023-02-19,24
2023-02-26,45
2023-03-05,25
2023-03-12,36
2023-03-19,28
2023-03-26,22
2023-04-02,28
2023-04-09,21
2023-04-16,43
2023-04-23,45
2023-04-30,80
2023-05-07,100
2023-05-14,26
2023-05-21,10
2023-05-28,10
2023-06-04,8
2023-06-11,8
2023-06-18,13
2023-06-25,22
2023-07-02,10
2023-07-09,8
2023-07-16,7
2023-07-23,6
2023-07-30,5
2023-08-06,11
2023-08-13,7
2023-08-20,5
2023-08-27,7
2023-09-03,7
2023-09-10,6
2023-09-17,6
2023-09-24,5
2023-10-01,5
2023-10-08,7
2023-10-15,12
2023-10-22,35
2023-10-29,28
2023-11-05,23
