Catégorie : Toutes catégories

Semaine,The Weeknd: (États-Unis)
2022-11-20,44
2022-11-27,68
2022-12-04,54
2022-12-11,48
2022-12-18,44
2022-12-25,44
2023-01-01,42
2023-01-08,48
2023-01-15,43
2023-01-22,44
2023-01-29,45
2023-02-05,54
2023-02-12,65
2023-02-19,62
2023-02-26,100
2023-03-05,56
2023-03-12,54
2023-03-19,49
2023-03-26,46
2023-04-02,40
2023-04-09,43
2023-04-16,55
2023-04-23,44
2023-04-30,39
2023-05-07,50
2023-05-14,59
2023-05-21,43
2023-05-28,46
2023-06-04,76
2023-06-11,75
2023-06-18,68
2023-06-25,74
2023-07-02,69
2023-07-09,46
2023-07-16,45
2023-07-23,39
2023-07-30,33
2023-08-06,35
2023-08-13,31
2023-08-20,33
2023-08-27,34
2023-09-03,33
2023-09-10,33
2023-09-17,31
2023-09-24,32
2023-10-01,30
2023-10-08,31
2023-10-15,30
2023-10-22,29
2023-10-29,28
2023-11-05,28
2023-11-12,31
