Catégorie : Toutes catégories

Semaine,Patrick Stewart: (États-Unis)
2022-11-13,35
2022-11-20,64
2022-11-27,36
2022-12-04,43
2022-12-11,67
2022-12-18,62
2022-12-25,57
2023-01-01,38
2023-01-08,29
2023-01-15,34
2023-01-22,38
2023-01-29,61
2023-02-05,43
2023-02-12,100
2023-02-19,76
2023-02-26,72
2023-03-05,58
2023-03-12,51
2023-03-19,48
2023-03-26,47
2023-04-02,35
2023-04-09,43
2023-04-16,70
2023-04-23,60
2023-04-30,45
2023-05-07,40
2023-05-14,36
2023-05-21,36
2023-05-28,29
2023-06-04,36
2023-06-11,36
2023-06-18,40
2023-06-25,30
2023-07-02,35
2023-07-09,43
2023-07-16,29
2023-07-23,27
2023-07-30,31
2023-08-06,30
2023-08-13,25
2023-08-20,26
2023-08-27,26
2023-09-03,31
2023-09-10,26
2023-09-17,27
2023-09-24,34
2023-10-01,74
2023-10-08,75
2023-10-15,63
2023-10-22,46
2023-10-29,44
2023-11-05,44
