Catégorie : Toutes catégories

Semaine,Gil Birmingham: (États-Unis)
2022-11-06,38
2022-11-13,81
2022-11-20,100
2022-11-27,63
2022-12-04,43
2022-12-11,65
2022-12-18,96
2022-12-25,64
2023-01-01,77
2023-01-08,55
2023-01-15,42
2023-01-22,26
2023-01-29,35
2023-02-05,24
2023-02-12,26
2023-02-19,28
2023-02-26,22
2023-03-05,19
2023-03-12,16
2023-03-19,16
2023-03-26,21
2023-04-02,20
2023-04-09,9
2023-04-16,10
2023-04-23,10
2023-04-30,12
2023-05-07,4
2023-05-14,9
2023-05-21,23
2023-05-28,30
2023-06-04,18
2023-06-11,21
2023-06-18,23
2023-06-25,19
2023-07-02,29
2023-07-09,28
2023-07-16,17
2023-07-23,16
2023-07-30,10
2023-08-06,18
2023-08-13,10
2023-08-20,10
2023-08-27,12
2023-09-03,22
2023-09-10,14
2023-09-17,24
2023-09-24,20
2023-10-01,17
2023-10-08,23
2023-10-15,17
2023-10-22,20
2023-10-29,17
