Catégorie : Toutes catégories

Semaine,Kendrick Cross: (États-Unis)
2022-11-13,15
2022-11-20,16
2022-11-27,0
2022-12-04,0
2022-12-11,57
2022-12-18,0
2022-12-25,36
2023-01-01,77
2023-01-08,100
2023-01-15,14
2023-01-22,18
2023-01-29,14
2023-02-05,61
2023-02-12,69
2023-02-19,37
2023-02-26,14
2023-03-05,66
2023-03-12,21
2023-03-19,15
2023-03-26,0
2023-04-02,26
2023-04-09,72
2023-04-16,42
2023-04-23,77
2023-04-30,36
2023-05-07,60
2023-05-14,0
2023-05-21,0
2023-05-28,20
2023-06-04,47
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,39
2023-07-09,36
2023-07-16,21
2023-07-23,23
2023-07-30,65
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,16
2023-09-17,0
2023-09-24,17
2023-10-01,0
2023-10-08,0
2023-10-15,31
2023-10-22,19
2023-10-29,0
2023-11-05,0
