Catégorie : Toutes catégories

Semaine,Judge Judy Sheindlin: (États-Unis)
2022-11-13,95
2022-11-20,58
2022-11-27,47
2022-12-04,55
2022-12-11,77
2022-12-18,78
2022-12-25,81
2023-01-01,50
2023-01-08,77
2023-01-15,71
2023-01-22,94
2023-01-29,46
2023-02-05,48
2023-02-12,68
2023-02-19,58
2023-02-26,35
2023-03-05,64
2023-03-12,46
2023-03-19,59
2023-03-26,30
2023-04-02,35
2023-04-09,48
2023-04-16,68
2023-04-23,54
2023-04-30,42
2023-05-07,40
2023-05-14,57
2023-05-21,46
2023-05-28,64
2023-06-04,64
2023-06-11,94
2023-06-18,58
2023-06-25,41
2023-07-02,53
2023-07-09,100
2023-07-16,26
2023-07-23,61
2023-07-30,38
2023-08-06,45
2023-08-13,61
2023-08-20,58
2023-08-27,50
2023-09-03,49
2023-09-10,44
2023-09-17,57
2023-09-24,40
2023-10-01,49
2023-10-08,37
2023-10-15,35
2023-10-22,56
2023-10-29,73
2023-11-05,40
