Catégorie : Toutes catégories

Semaine,Kanye West: (États-Unis)
2022-11-13,28
2022-11-20,37
2022-11-27,100
2022-12-04,62
2022-12-11,28
2022-12-18,22
2022-12-25,51
2023-01-01,52
2023-01-08,42
2023-01-15,34
2023-01-22,24
2023-01-29,20
2023-02-05,20
2023-02-12,23
2023-02-19,18
2023-02-26,16
2023-03-05,16
2023-03-12,14
2023-03-19,16
2023-03-26,18
2023-04-02,14
2023-04-09,12
2023-04-16,12
2023-04-23,14
2023-04-30,13
2023-05-07,12
2023-05-14,35
2023-05-21,31
2023-05-28,22
2023-06-04,30
2023-06-11,28
2023-06-18,20
2023-06-25,44
2023-07-02,18
2023-07-09,15
2023-07-16,14
2023-07-23,16
2023-07-30,20
2023-08-06,34
2023-08-13,37
2023-08-20,25
2023-08-27,42
2023-09-03,28
2023-09-10,26
2023-09-17,19
2023-09-24,18
2023-10-01,27
2023-10-08,21
2023-10-15,15
2023-10-22,21
2023-10-29,19
2023-11-05,13
