Catégorie : Toutes catégories

Semaine,Sigourney Weaver: (États-Unis)
2022-11-06,20
2022-11-13,21
2022-11-20,37
2022-11-27,46
2022-12-04,75
2022-12-11,81
2022-12-18,93
2022-12-25,100
2023-01-01,67
2023-01-08,57
2023-01-15,42
2023-01-22,44
2023-01-29,30
2023-02-05,24
2023-02-12,23
2023-02-19,23
2023-02-26,22
2023-03-05,34
2023-03-12,94
2023-03-19,28
2023-03-26,26
2023-04-02,26
2023-04-09,28
2023-04-16,24
2023-04-23,22
2023-04-30,25
2023-05-07,25
2023-05-14,37
2023-05-21,27
2023-05-28,26
2023-06-04,52
2023-06-11,36
2023-06-18,34
2023-06-25,34
2023-07-02,46
2023-07-09,29
2023-07-16,30
2023-07-23,26
2023-07-30,41
2023-08-06,55
2023-08-13,46
2023-08-20,37
2023-08-27,39
2023-09-03,37
2023-09-10,34
2023-09-17,25
2023-09-24,28
2023-10-01,22
2023-10-08,31
2023-10-15,29
2023-10-22,28
