Catégorie : Toutes catégories

Semaine,Lady Gaga: (États-Unis)
2022-11-13,16
2022-11-20,19
2022-11-27,17
2022-12-04,23
2022-12-11,24
2022-12-18,22
2022-12-25,26
2023-01-01,21
2023-01-08,21
2023-01-15,19
2023-01-22,24
2023-01-29,20
2023-02-05,26
2023-02-12,40
2023-02-19,22
2023-02-26,19
2023-03-05,18
2023-03-12,100
2023-03-19,21
2023-03-26,34
2023-04-02,32
2023-04-09,20
2023-04-16,17
2023-04-23,16
2023-04-30,18
2023-05-07,14
2023-05-14,18
2023-05-21,19
2023-05-28,15
2023-06-04,14
2023-06-11,18
2023-06-18,16
2023-06-25,18
2023-07-02,18
2023-07-09,17
2023-07-16,31
2023-07-23,28
2023-07-30,21
2023-08-06,20
2023-08-13,20
2023-08-20,18
2023-08-27,19
2023-09-03,20
2023-09-10,23
2023-09-17,17
2023-09-24,18
2023-10-01,20
2023-10-08,33
2023-10-15,22
2023-10-22,22
2023-10-29,18
2023-11-05,17
