Catégorie : Toutes catégories

Semaine,Rod Stewart: (États-Unis)
2022-11-13,47
2022-11-20,50
2022-11-27,54
2022-12-04,96
2022-12-11,53
2022-12-18,45
2022-12-25,61
2023-01-01,48
2023-01-08,100
2023-01-15,59
2023-01-22,58
2023-01-29,53
2023-02-05,71
2023-02-12,73
2023-02-19,59
2023-02-26,61
2023-03-05,68
2023-03-12,62
2023-03-19,54
2023-03-26,59
2023-04-02,62
2023-04-09,52
2023-04-16,45
2023-04-23,56
2023-04-30,60
2023-05-07,63
2023-05-14,60
2023-05-21,65
2023-05-28,59
2023-06-04,61
2023-06-11,74
2023-06-18,56
2023-06-25,60
2023-07-02,59
2023-07-09,73
2023-07-16,79
2023-07-23,70
2023-07-30,84
2023-08-06,87
2023-08-13,60
2023-08-20,64
2023-08-27,73
2023-09-03,51
2023-09-10,50
2023-09-17,47
2023-09-24,43
2023-10-01,46
2023-10-08,51
2023-10-15,46
2023-10-22,46
2023-10-29,54
2023-11-05,58
