Catégorie : Toutes catégories

Semaine,Anthony Ingruber: (États-Unis)
2022-11-06,0
2022-11-13,27
2022-11-20,15
2022-11-27,94
2022-12-04,0
2022-12-11,0
2022-12-18,11
2022-12-25,33
2023-01-01,0
2023-01-08,0
2023-01-15,49
2023-01-22,0
2023-01-29,43
2023-02-05,33
2023-02-12,12
2023-02-19,21
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,17
2023-03-26,0
2023-04-02,0
2023-04-09,15
2023-04-16,14
2023-04-23,17
2023-04-30,9
2023-05-07,0
2023-05-14,12
2023-05-21,0
2023-05-28,18
2023-06-04,20
2023-06-11,27
2023-06-18,19
2023-06-25,43
2023-07-02,100
2023-07-09,46
2023-07-16,31
2023-07-23,0
2023-07-30,28
2023-08-06,45
2023-08-13,70
2023-08-20,0
2023-08-27,27
2023-09-03,18
2023-09-10,30
2023-09-17,0
2023-09-24,15
2023-10-01,0
2023-10-08,26
2023-10-15,23
2023-10-22,0
2023-10-29,43
