Catégorie : Toutes catégories

Semaine,Campbell Scott: (États-Unis)
2022-11-13,65
2022-11-20,59
2022-11-27,74
2022-12-04,71
2022-12-11,67
2022-12-18,60
2022-12-25,91
2023-01-01,96
2023-01-08,100
2023-01-15,87
2023-01-22,82
2023-01-29,78
2023-02-05,82
2023-02-12,78
2023-02-19,68
2023-02-26,80
2023-03-05,80
2023-03-12,69
2023-03-19,85
2023-03-26,57
2023-04-02,56
2023-04-09,67
2023-04-16,83
2023-04-23,75
2023-04-30,63
2023-05-07,68
2023-05-14,62
2023-05-21,75
2023-05-28,76
2023-06-04,73
2023-06-11,66
2023-06-18,65
2023-06-25,89
2023-07-02,70
2023-07-09,81
2023-07-16,88
2023-07-23,79
2023-07-30,75
2023-08-06,80
2023-08-13,75
2023-08-20,72
2023-08-27,75
2023-09-03,62
2023-09-10,71
2023-09-17,74
2023-09-24,71
2023-10-01,51
2023-10-08,83
2023-10-15,65
2023-10-22,74
2023-10-29,79
