Catégorie : Toutes catégories

Semaine,Timothy V. Murphy: (États-Unis)
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,34
2023-01-15,0
2023-01-22,77
2023-01-29,57
2023-02-05,66
2023-02-12,34
2023-02-19,79
2023-02-26,29
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,32
2023-04-02,90
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,36
2023-06-11,0
2023-06-18,0
2023-06-25,44
2023-07-02,0
2023-07-09,0
2023-07-16,100
2023-07-23,0
2023-07-30,0
2023-08-06,46
2023-08-13,89
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,53
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,43
2023-10-29,0
