Catégorie : Toutes catégories

Semaine,Michael Bublé: (États-Unis)
2022-11-20,46
2022-11-27,92
2022-12-04,69
2022-12-11,70
2022-12-18,78
2022-12-25,45
2023-01-01,27
2023-01-08,23
2023-01-15,34
2023-01-22,23
2023-01-29,24
2023-02-05,25
2023-02-12,31
2023-02-19,24
2023-02-26,34
2023-03-05,23
2023-03-12,18
2023-03-19,18
2023-03-26,24
2023-04-02,19
2023-04-09,21
2023-04-16,23
2023-04-23,20
2023-04-30,18
2023-05-07,30
2023-05-14,26
2023-05-21,31
2023-05-28,22
2023-06-04,30
2023-06-11,26
2023-06-18,31
2023-06-25,27
2023-07-02,24
2023-07-09,19
2023-07-16,32
2023-07-23,30
2023-07-30,26
2023-08-06,27
2023-08-13,100
2023-08-20,17
2023-08-27,21
2023-09-03,29
2023-09-10,24
2023-09-17,25
2023-09-24,30
2023-10-01,21
2023-10-08,26
2023-10-15,23
2023-10-22,30
2023-10-29,35
2023-11-05,30
