Catégorie : Toutes catégories

Semaine,Bigbang: (États-Unis)
2022-11-20,56
2022-11-27,48
2022-12-04,50
2022-12-11,73
2022-12-18,45
2022-12-25,67
2023-01-01,74
2023-01-08,73
2023-01-15,100
2023-01-22,54
2023-01-29,59
2023-02-05,50
2023-02-12,41
2023-02-19,49
2023-02-26,51
2023-03-05,44
2023-03-12,49
2023-03-19,39
2023-03-26,50
2023-04-02,50
2023-04-09,44
2023-04-16,46
2023-04-23,61
2023-04-30,49
2023-05-07,60
2023-05-14,48
2023-05-21,48
2023-05-28,93
2023-06-04,69
2023-06-11,50
2023-06-18,44
2023-06-25,50
2023-07-02,58
2023-07-09,54
2023-07-16,48
2023-07-23,47
2023-07-30,31
2023-08-06,37
2023-08-13,41
2023-08-20,38
2023-08-27,42
2023-09-03,54
2023-09-10,40
2023-09-17,49
2023-09-24,36
2023-10-01,48
2023-10-08,45
2023-10-15,33
2023-10-22,49
2023-10-29,41
2023-11-05,47
