Catégorie : Toutes catégories

Semaine,Max Baker: (États-Unis)
2022-11-06,42
2022-11-13,38
2022-11-20,37
2022-11-27,41
2022-12-04,100
2022-12-11,48
2022-12-18,39
2022-12-25,68
2023-01-01,57
2023-01-08,55
2023-01-15,61
2023-01-22,71
2023-01-29,50
2023-02-05,43
2023-02-12,29
2023-02-19,25
2023-02-26,35
2023-03-05,50
2023-03-12,28
2023-03-19,48
2023-03-26,52
2023-04-02,59
2023-04-09,56
2023-04-16,36
2023-04-23,47
2023-04-30,25
2023-05-07,37
2023-05-14,39
2023-05-21,25
2023-05-28,23
2023-06-04,44
2023-06-11,41
2023-06-18,37
2023-06-25,21
2023-07-02,40
2023-07-09,44
2023-07-16,34
2023-07-23,44
2023-07-30,40
2023-08-06,24
2023-08-13,47
2023-08-20,51
2023-08-27,68
2023-09-03,45
2023-09-10,39
2023-09-17,32
2023-09-24,10
2023-10-01,44
2023-10-08,30
2023-10-15,67
2023-10-22,78
2023-10-29,32
