Catégorie : Toutes catégories

Semaine,Lorena Ochoa: (États-Unis)
2022-11-20,4
2022-11-27,100
2022-12-04,7
2022-12-11,2
2022-12-18,3
2022-12-25,0
2023-01-01,7
2023-01-08,8
2023-01-15,5
2023-01-22,0
2023-01-29,4
2023-02-05,16
2023-02-12,0
2023-02-19,3
2023-02-26,3
2023-03-05,4
2023-03-12,2
2023-03-19,19
2023-03-26,11
2023-04-02,3
2023-04-09,4
2023-04-16,3
2023-04-23,4
2023-04-30,7
2023-05-07,7
2023-05-14,4
2023-05-21,5
2023-05-28,6
2023-06-04,5
2023-06-11,5
2023-06-18,4
2023-06-25,3
2023-07-02,13
2023-07-09,3
2023-07-16,3
2023-07-23,0
2023-07-30,3
2023-08-06,0
2023-08-13,2
2023-08-20,4
2023-08-27,10
2023-09-03,3
2023-09-10,4
2023-09-17,6
2023-09-24,7
2023-10-01,6
2023-10-08,3
2023-10-15,4
2023-10-22,6
2023-10-29,0
2023-11-05,0
2023-11-12,12
