Catégorie : Toutes catégories

Semaine,Kiefer Sutherland: (États-Unis)
2022-11-13,23
2022-11-20,16
2022-11-27,15
2022-12-04,14
2022-12-11,16
2022-12-18,20
2022-12-25,22
2023-01-01,18
2023-01-08,19
2023-01-15,16
2023-01-22,19
2023-01-29,37
2023-02-05,24
2023-02-12,22
2023-02-19,26
2023-02-26,27
2023-03-05,23
2023-03-12,31
2023-03-19,65
2023-03-26,100
2023-04-02,68
2023-04-09,57
2023-04-16,42
2023-04-23,42
2023-04-30,43
2023-05-07,29
2023-05-14,25
2023-05-21,23
2023-05-28,27
2023-06-04,22
2023-06-11,21
2023-06-18,20
2023-06-25,24
2023-07-02,20
2023-07-09,20
2023-07-16,21
2023-07-23,23
2023-07-30,23
2023-08-06,23
2023-08-13,24
2023-08-20,23
2023-08-27,17
2023-09-03,20
2023-09-10,20
2023-09-17,24
2023-09-24,19
2023-10-01,20
2023-10-08,29
2023-10-15,25
2023-10-22,25
2023-10-29,27
2023-11-05,21
