Catégorie : Toutes catégories

Semaine,Leonardo DiCaprio: (États-Unis)
2022-11-13,16
2022-11-20,21
2022-11-27,14
2022-12-04,15
2022-12-11,15
2022-12-18,19
2022-12-25,23
2023-01-01,21
2023-01-08,19
2023-01-15,17
2023-01-22,16
2023-01-29,18
2023-02-05,100
2023-02-12,34
2023-02-19,28
2023-02-26,22
2023-03-05,17
2023-03-12,19
2023-03-19,17
2023-03-26,16
2023-04-02,21
2023-04-09,15
2023-04-16,15
2023-04-23,15
2023-04-30,14
2023-05-07,18
2023-05-14,16
2023-05-21,47
2023-05-28,18
2023-06-04,17
2023-06-11,14
2023-06-18,18
2023-06-25,23
2023-07-02,33
2023-07-09,43
2023-07-16,32
2023-07-23,28
2023-07-30,34
2023-08-06,17
2023-08-13,18
2023-08-20,15
2023-08-27,15
2023-09-03,16
2023-09-10,17
2023-09-17,23
2023-09-24,27
2023-10-01,21
2023-10-08,21
2023-10-15,39
2023-10-22,37
2023-10-29,27
