Catégorie : Toutes catégories

Semaine,David Letterman: (États-Unis)
2022-11-13,43
2022-11-20,44
2022-11-27,37
2022-12-04,38
2022-12-11,60
2022-12-18,55
2022-12-25,52
2023-01-01,44
2023-01-08,40
2023-01-15,41
2023-01-22,39
2023-01-29,36
2023-02-05,40
2023-02-12,35
2023-02-19,36
2023-02-26,33
2023-03-05,37
2023-03-12,100
2023-03-19,86
2023-03-26,49
2023-04-02,37
2023-04-09,42
2023-04-16,35
2023-04-23,43
2023-04-30,41
2023-05-07,34
2023-05-14,34
2023-05-21,44
2023-05-28,46
2023-06-04,40
2023-06-11,44
2023-06-18,34
2023-06-25,33
2023-07-02,32
2023-07-09,39
2023-07-16,37
2023-07-23,48
2023-07-30,37
2023-08-06,33
2023-08-13,32
2023-08-20,29
2023-08-27,31
2023-09-03,41
2023-09-10,27
2023-09-17,27
2023-09-24,34
2023-10-01,32
2023-10-08,32
2023-10-15,28
2023-10-22,27
2023-10-29,33
2023-11-05,35
