Catégorie : Toutes catégories

Semaine,Dick Wolf: (États-Unis)
2022-11-13,67
2022-11-20,48
2022-11-27,54
2022-12-04,62
2022-12-11,70
2022-12-18,57
2022-12-25,59
2023-01-01,81
2023-01-08,74
2023-01-15,70
2023-01-22,75
2023-01-29,70
2023-02-05,48
2023-02-12,76
2023-02-19,100
2023-02-26,80
2023-03-05,71
2023-03-12,71
2023-03-19,69
2023-03-26,73
2023-04-02,67
2023-04-09,86
2023-04-16,58
2023-04-23,69
2023-04-30,54
2023-05-07,71
2023-05-14,63
2023-05-21,87
2023-05-28,72
2023-06-04,58
2023-06-11,71
2023-06-18,77
2023-06-25,75
2023-07-02,69
2023-07-09,53
2023-07-16,52
2023-07-23,50
2023-07-30,51
2023-08-06,58
2023-08-13,48
2023-08-20,43
2023-08-27,39
2023-09-03,41
2023-09-10,45
2023-09-17,39
2023-09-24,37
2023-10-01,45
2023-10-08,40
2023-10-15,59
2023-10-22,38
2023-10-29,37
2023-11-05,44
