Catégorie : Toutes catégories

Semaine,Bruce Springsteen: (États-Unis)
2022-11-13,47
2022-11-20,57
2022-11-27,66
2022-12-04,33
2022-12-11,29
2022-12-18,30
2022-12-25,35
2023-01-01,25
2023-01-08,25
2023-01-15,24
2023-01-22,30
2023-01-29,58
2023-02-05,60
2023-02-12,85
2023-02-19,67
2023-02-26,61
2023-03-05,65
2023-03-12,84
2023-03-19,65
2023-03-26,53
2023-04-02,55
2023-04-09,38
2023-04-16,29
2023-04-23,26
2023-04-30,41
2023-05-07,25
2023-05-14,26
2023-05-21,26
2023-05-28,58
2023-06-04,26
2023-06-11,25
2023-06-18,24
2023-06-25,26
2023-07-02,40
2023-07-09,27
2023-07-16,26
2023-07-23,27
2023-07-30,30
2023-08-06,65
2023-08-13,100
2023-08-20,77
2023-08-27,78
2023-09-03,93
2023-09-10,28
2023-09-17,25
2023-09-24,47
2023-10-01,23
2023-10-08,21
2023-10-15,18
2023-10-22,19
2023-10-29,20
2023-11-05,38
