Catégorie : Toutes catégories

Semaine,Mario Batali: (États-Unis)
2022-11-13,68
2022-11-20,61
2022-11-27,69
2022-12-04,80
2022-12-11,54
2022-12-18,100
2022-12-25,98
2023-01-01,63
2023-01-08,72
2023-01-15,66
2023-01-22,60
2023-01-29,59
2023-02-05,57
2023-02-12,55
2023-02-19,82
2023-02-26,42
2023-03-05,63
2023-03-12,59
2023-03-19,55
2023-03-26,60
2023-04-02,53
2023-04-09,66
2023-04-16,77
2023-04-23,51
2023-04-30,48
2023-05-07,43
2023-05-14,70
2023-05-21,58
2023-05-28,60
2023-06-04,54
2023-06-11,68
2023-06-18,63
2023-06-25,48
2023-07-02,54
2023-07-09,60
2023-07-16,59
2023-07-23,63
2023-07-30,54
2023-08-06,45
2023-08-13,62
2023-08-20,68
2023-08-27,67
2023-09-03,46
2023-09-10,64
2023-09-17,58
2023-09-24,61
2023-10-01,61
2023-10-08,69
2023-10-15,67
2023-10-22,64
2023-10-29,65
2023-11-05,71
