Catégorie : Toutes catégories

Semaine,Jesse Eisenberg: (États-Unis)
2022-11-06,35
2022-11-13,52
2022-11-20,100
2022-11-27,57
2022-12-04,50
2022-12-11,41
2022-12-18,40
2022-12-25,50
2023-01-01,48
2023-01-08,42
2023-01-15,74
2023-01-22,48
2023-01-29,40
2023-02-05,36
2023-02-12,34
2023-02-19,29
2023-02-26,22
2023-03-05,27
2023-03-12,27
2023-03-19,27
2023-03-26,28
2023-04-02,28
2023-04-09,26
2023-04-16,28
2023-04-23,23
2023-04-30,19
2023-05-07,20
2023-05-14,20
2023-05-21,18
2023-05-28,20
2023-06-04,21
2023-06-11,24
2023-06-18,21
2023-06-25,19
2023-07-02,22
2023-07-09,34
2023-07-16,36
2023-07-23,31
2023-07-30,35
2023-08-06,33
2023-08-13,25
2023-08-20,24
2023-08-27,23
2023-09-03,27
2023-09-10,20
2023-09-17,24
2023-09-24,23
2023-10-01,21
2023-10-08,24
2023-10-15,21
2023-10-22,34
2023-10-29,27
