Catégorie : Toutes catégories

Semaine,Max von Sydow: (États-Unis)
2022-11-13,25
2022-11-20,29
2022-11-27,32
2022-12-04,30
2022-12-11,35
2022-12-18,63
2022-12-25,58
2023-01-01,36
2023-01-08,24
2023-01-15,27
2023-01-22,33
2023-01-29,18
2023-02-05,32
2023-02-12,21
2023-02-19,19
2023-02-26,25
2023-03-05,33
2023-03-12,22
2023-03-19,28
2023-03-26,23
2023-04-02,34
2023-04-09,100
2023-04-16,39
2023-04-23,47
2023-04-30,35
2023-05-07,26
2023-05-14,26
2023-05-21,26
2023-05-28,26
2023-06-04,29
2023-06-11,38
2023-06-18,40
2023-06-25,18
2023-07-02,35
2023-07-09,20
2023-07-16,29
2023-07-23,24
2023-07-30,23
2023-08-06,51
2023-08-13,35
2023-08-20,24
2023-08-27,23
2023-09-03,35
2023-09-10,37
2023-09-17,32
2023-09-24,66
2023-10-01,55
2023-10-08,56
2023-10-15,41
2023-10-22,61
2023-10-29,48
