Catégorie : Toutes catégories

Semaine,Bruce Campbell: (États-Unis)
2022-11-06,34
2022-11-13,29
2022-11-20,78
2022-11-27,47
2022-12-04,39
2022-12-11,37
2022-12-18,48
2022-12-25,48
2023-01-01,56
2023-01-08,54
2023-01-15,46
2023-01-22,41
2023-01-29,35
2023-02-05,32
2023-02-12,28
2023-02-19,41
2023-02-26,35
2023-03-05,41
2023-03-12,50
2023-03-19,51
2023-03-26,44
2023-04-02,64
2023-04-09,68
2023-04-16,91
2023-04-23,100
2023-04-30,64
2023-05-07,60
2023-05-14,51
2023-05-21,39
2023-05-28,43
2023-06-04,42
2023-06-11,43
2023-06-18,67
2023-06-25,65
2023-07-02,48
2023-07-09,56
2023-07-16,38
2023-07-23,35
2023-07-30,31
2023-08-06,28
2023-08-13,30
2023-08-20,30
2023-08-27,35
2023-09-03,27
2023-09-10,38
2023-09-17,34
2023-09-24,31
2023-10-01,32
2023-10-08,32
2023-10-15,40
2023-10-22,48
2023-10-29,43
