Catégorie : Toutes catégories

Semaine,John Curran: (États-Unis)
2022-11-13,35
2022-11-20,11
2022-11-27,32
2022-12-04,45
2022-12-11,13
2022-12-18,15
2022-12-25,21
2023-01-01,27
2023-01-08,37
2023-01-15,20
2023-01-22,28
2023-01-29,24
2023-02-05,27
2023-02-12,39
2023-02-19,38
2023-02-26,7
2023-03-05,38
2023-03-12,11
2023-03-19,36
2023-03-26,39
2023-04-02,30
2023-04-09,0
2023-04-16,17
2023-04-23,26
2023-04-30,27
2023-05-07,25
2023-05-14,20
2023-05-21,20
2023-05-28,35
2023-06-04,19
2023-06-11,14
2023-06-18,26
2023-06-25,28
2023-07-02,18
2023-07-09,30
2023-07-16,56
2023-07-23,21
2023-07-30,0
2023-08-06,32
2023-08-13,10
2023-08-20,38
2023-08-27,25
2023-09-03,30
2023-09-10,0
2023-09-17,47
2023-09-24,28
2023-10-01,0
2023-10-08,100
2023-10-15,73
2023-10-22,27
2023-10-29,24
2023-11-05,31
