Catégorie : Toutes catégories

Semaine,Sala Baker: (États-Unis)
2022-11-13,0
2022-11-20,0
2022-11-27,72
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,35
2023-01-01,0
2023-01-08,0
2023-01-15,18
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,20
2023-02-19,27
2023-02-26,18
2023-03-05,18
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,38
2023-04-09,0
2023-04-16,23
2023-04-23,0
2023-04-30,28
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,63
2023-06-11,24
2023-06-18,45
2023-06-25,0
2023-07-02,54
2023-07-09,0
2023-07-16,0
2023-07-23,69
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,18
2023-08-27,24
2023-09-03,64
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,32
2023-10-15,55
2023-10-22,72
2023-10-29,100
2023-11-05,0
