Catégorie : Toutes catégories

Semaine,Arthur Lee: (États-Unis)
2022-11-06,100
2022-11-13,60
2022-11-20,60
2022-11-27,64
2022-12-04,71
2022-12-11,84
2022-12-18,41
2022-12-25,62
2023-01-01,70
2023-01-08,63
2023-01-15,64
2023-01-22,84
2023-01-29,84
2023-02-05,40
2023-02-12,80
2023-02-19,50
2023-02-26,67
2023-03-05,65
2023-03-12,74
2023-03-19,80
2023-03-26,58
2023-04-02,90
2023-04-09,53
2023-04-16,74
2023-04-23,78
2023-04-30,78
2023-05-07,57
2023-05-14,68
2023-05-21,84
2023-05-28,79
2023-06-04,96
2023-06-11,54
2023-06-18,58
2023-06-25,62
2023-07-02,61
2023-07-09,57
2023-07-16,45
2023-07-23,71
2023-07-30,55
2023-08-06,63
2023-08-13,81
2023-08-20,77
2023-08-27,97
2023-09-03,69
2023-09-10,92
2023-09-17,80
2023-09-24,65
2023-10-01,76
2023-10-08,76
2023-10-15,65
2023-10-22,56
2023-10-29,36
