Catégorie : Toutes catégories

Semaine,Kate Winslet: (États-Unis)
2022-11-13,22
2022-11-20,26
2022-11-27,21
2022-12-04,41
2022-12-11,50
2022-12-18,100
2022-12-25,97
2023-01-01,65
2023-01-08,53
2023-01-15,40
2023-01-22,25
2023-01-29,25
2023-02-05,30
2023-02-12,38
2023-02-19,24
2023-02-26,19
2023-03-05,22
2023-03-12,22
2023-03-19,19
2023-03-26,19
2023-04-02,21
2023-04-09,31
2023-04-16,23
2023-04-23,23
2023-04-30,19
2023-05-07,18
2023-05-14,43
2023-05-21,21
2023-05-28,22
2023-06-04,26
2023-06-11,36
2023-06-18,45
2023-06-25,67
2023-07-02,76
2023-07-09,53
2023-07-16,37
2023-07-23,29
2023-07-30,25
2023-08-06,23
2023-08-13,21
2023-08-20,19
2023-08-27,20
2023-09-03,20
2023-09-10,43
2023-09-17,21
2023-09-24,21
2023-10-01,21
2023-10-08,31
2023-10-15,15
2023-10-22,21
2023-10-29,20
