Catégorie : Toutes catégories

Semaine,Nicolas Cage: (États-Unis)
2022-11-13,30
2022-11-20,37
2022-11-27,30
2022-12-04,43
2022-12-11,40
2022-12-18,37
2022-12-25,44
2023-01-01,48
2023-01-08,93
2023-01-15,51
2023-01-22,41
2023-01-29,37
2023-02-05,38
2023-02-12,38
2023-02-19,47
2023-02-26,78
2023-03-05,84
2023-03-12,100
2023-03-19,90
2023-03-26,87
2023-04-02,71
2023-04-09,86
2023-04-16,57
2023-04-23,95
2023-04-30,53
2023-05-07,46
2023-05-14,76
2023-05-21,53
2023-05-28,50
2023-06-04,51
2023-06-11,62
2023-06-18,66
2023-06-25,48
2023-07-02,67
2023-07-09,63
2023-07-16,58
2023-07-23,62
2023-07-30,44
2023-08-06,40
2023-08-13,36
2023-08-20,37
2023-08-27,43
2023-09-03,40
2023-09-10,37
2023-09-17,40
2023-09-24,33
2023-10-01,34
2023-10-08,39
2023-10-15,40
2023-10-22,44
2023-10-29,47
2023-11-05,45
