Catégorie : Toutes catégories

Semaine,James Patterson: (États-Unis)
2022-11-13,69
2022-11-20,73
2022-11-27,77
2022-12-04,75
2022-12-11,78
2022-12-18,73
2022-12-25,64
2023-01-01,78
2023-01-08,100
2023-01-15,76
2023-01-22,69
2023-01-29,70
2023-02-05,75
2023-02-12,68
2023-02-19,70
2023-02-26,60
2023-03-05,61
2023-03-12,70
2023-03-19,73
2023-03-26,66
2023-04-02,69
2023-04-09,72
2023-04-16,59
2023-04-23,70
2023-04-30,74
2023-05-07,63
2023-05-14,68
2023-05-21,69
2023-05-28,70
2023-06-04,70
2023-06-11,77
2023-06-18,69
2023-06-25,70
2023-07-02,76
2023-07-09,73
2023-07-16,68
2023-07-23,73
2023-07-30,64
2023-08-06,63
2023-08-13,71
2023-08-20,69
2023-08-27,62
2023-09-03,65
2023-09-10,70
2023-09-17,65
2023-09-24,71
2023-10-01,66
2023-10-08,62
2023-10-15,70
2023-10-22,77
2023-10-29,61
2023-11-05,61
