Catégorie : Toutes catégories

Semaine,Kathy Bates: (États-Unis)
2022-11-13,25
2022-11-20,36
2022-11-27,24
2022-12-04,24
2022-12-11,17
2022-12-18,26
2022-12-25,100
2023-01-01,42
2023-01-08,24
2023-01-15,36
2023-01-22,21
2023-01-29,28
2023-02-05,33
2023-02-12,31
2023-02-19,23
2023-02-26,26
2023-03-05,23
2023-03-12,29
2023-03-19,26
2023-03-26,24
2023-04-02,31
2023-04-09,28
2023-04-16,27
2023-04-23,35
2023-04-30,39
2023-05-07,56
2023-05-14,61
2023-05-21,71
2023-05-28,40
2023-06-04,40
2023-06-11,38
2023-06-18,29
2023-06-25,44
2023-07-02,48
2023-07-09,43
2023-07-16,37
2023-07-23,32
2023-07-30,27
2023-08-06,26
2023-08-13,33
2023-08-20,32
2023-08-27,26
2023-09-03,22
2023-09-10,33
2023-09-17,26
2023-09-24,40
2023-10-01,30
2023-10-08,37
2023-10-15,51
2023-10-22,32
2023-10-29,32
