Catégorie : Toutes catégories

Semaine,Eminem: (États-Unis)
2022-11-13,72
2022-11-20,87
2022-11-27,78
2022-12-04,72
2022-12-11,79
2022-12-18,69
2022-12-25,66
2023-01-01,56
2023-01-08,67
2023-01-15,58
2023-01-22,60
2023-01-29,63
2023-02-05,80
2023-02-12,96
2023-02-19,70
2023-02-26,63
2023-03-05,59
2023-03-12,64
2023-03-19,58
2023-03-26,69
2023-04-02,60
2023-04-09,58
2023-04-16,58
2023-04-23,57
2023-04-30,52
2023-05-07,67
2023-05-14,61
2023-05-21,57
2023-05-28,64
2023-06-04,59
2023-06-11,79
2023-06-18,56
2023-06-25,68
2023-07-02,59
2023-07-09,60
2023-07-16,83
2023-07-23,69
2023-07-30,72
2023-08-06,80
2023-08-13,69
2023-08-20,86
2023-08-27,100
2023-09-03,70
2023-09-10,58
2023-09-17,77
2023-09-24,80
2023-10-01,63
2023-10-08,71
2023-10-15,73
2023-10-22,74
2023-10-29,75
2023-11-05,63
