Catégorie : Toutes catégories

Semaine,Katie Couric: (États-Unis)
2022-11-13,70
2022-11-20,69
2022-11-27,64
2022-12-04,55
2022-12-11,53
2022-12-18,39
2022-12-25,100
2023-01-01,48
2023-01-08,52
2023-01-15,42
2023-01-22,43
2023-01-29,41
2023-02-05,35
2023-02-12,34
2023-02-19,34
2023-02-26,34
2023-03-05,52
2023-03-12,36
2023-03-19,34
2023-03-26,41
2023-04-02,42
2023-04-09,30
2023-04-16,34
2023-04-23,45
2023-04-30,34
2023-05-07,35
2023-05-14,34
2023-05-21,30
2023-05-28,33
2023-06-04,46
2023-06-11,41
2023-06-18,37
2023-06-25,32
2023-07-02,37
2023-07-09,31
2023-07-16,28
2023-07-23,35
2023-07-30,48
2023-08-06,37
2023-08-13,37
2023-08-20,43
2023-08-27,37
2023-09-03,35
2023-09-10,35
2023-09-17,39
2023-09-24,41
2023-10-01,56
2023-10-08,44
2023-10-15,48
2023-10-22,46
2023-10-29,52
2023-11-05,32
