Catégorie : Toutes catégories

Semaine,Richard Thomson: (États-Unis)
2022-11-13,0
2022-11-20,30
2022-11-27,35
2022-12-04,0
2022-12-11,44
2022-12-18,45
2022-12-25,0
2023-01-01,60
2023-01-08,0
2023-01-15,25
2023-01-22,37
2023-01-29,34
2023-02-05,0
2023-02-12,28
2023-02-19,55
2023-02-26,0
2023-03-05,26
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,32
2023-04-23,48
2023-04-30,100
2023-05-07,26
2023-05-14,0
2023-05-21,30
2023-05-28,0
2023-06-04,62
2023-06-11,34
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,33
2023-07-16,32
2023-07-23,0
2023-07-30,88
2023-08-06,0
2023-08-13,74
2023-08-20,44
2023-08-27,0
2023-09-03,28
2023-09-10,0
2023-09-17,52
2023-09-24,0
2023-10-01,32
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
