Catégorie : Toutes catégories

Semaine,Van Halen: (États-Unis)
2022-11-13,47
2022-11-20,66
2022-11-27,48
2022-12-04,52
2022-12-11,47
2022-12-18,49
2022-12-25,57
2023-01-01,49
2023-01-08,52
2023-01-15,51
2023-01-22,62
2023-01-29,55
2023-02-05,58
2023-02-12,49
2023-02-19,54
2023-02-26,53
2023-03-05,51
2023-03-12,54
2023-03-19,59
2023-03-26,54
2023-04-02,51
2023-04-09,53
2023-04-16,50
2023-04-23,58
2023-04-30,55
2023-05-07,57
2023-05-14,61
2023-05-21,58
2023-05-28,61
2023-06-04,56
2023-06-11,57
2023-06-18,59
2023-06-25,63
2023-07-02,61
2023-07-09,55
2023-07-16,58
2023-07-23,57
2023-07-30,68
2023-08-06,65
2023-08-13,64
2023-08-20,61
2023-08-27,58
2023-09-03,58
2023-09-10,53
2023-09-17,54
2023-09-24,49
2023-10-01,64
2023-10-08,62
2023-10-15,100
2023-10-22,64
2023-10-29,55
2023-11-05,65
