Catégorie : Toutes catégories

Semaine,David Guetta: (États-Unis)
2022-11-20,96
2022-11-27,86
2022-12-04,64
2022-12-11,63
2022-12-18,56
2022-12-25,62
2023-01-01,73
2023-01-08,63
2023-01-15,55
2023-01-22,54
2023-01-29,56
2023-02-05,76
2023-02-12,74
2023-02-19,63
2023-02-26,55
2023-03-05,55
2023-03-12,68
2023-03-19,64
2023-03-26,86
2023-04-02,63
2023-04-09,63
2023-04-16,66
2023-04-23,71
2023-04-30,67
2023-05-07,61
2023-05-14,73
2023-05-21,100
2023-05-28,66
2023-06-04,59
2023-06-11,58
2023-06-18,61
2023-06-25,66
2023-07-02,59
2023-07-09,69
2023-07-16,60
2023-07-23,68
2023-07-30,60
2023-08-06,58
2023-08-13,58
2023-08-20,47
2023-08-27,51
2023-09-03,45
2023-09-10,45
2023-09-17,43
2023-09-24,45
2023-10-01,43
2023-10-08,40
2023-10-15,44
2023-10-22,46
2023-10-29,40
2023-11-05,47
