Catégorie : Toutes catégories

Semaine,Thomas Roberts: (États-Unis)
2022-11-13,71
2022-11-20,36
2022-11-27,68
2022-12-04,70
2022-12-11,49
2022-12-18,62
2022-12-25,45
2023-01-01,55
2023-01-08,50
2023-01-15,43
2023-01-22,51
2023-01-29,61
2023-02-05,67
2023-02-12,48
2023-02-19,48
2023-02-26,56
2023-03-05,79
2023-03-12,46
2023-03-19,62
2023-03-26,36
2023-04-02,60
2023-04-09,63
2023-04-16,50
2023-04-23,78
2023-04-30,68
2023-05-07,57
2023-05-14,44
2023-05-21,49
2023-05-28,26
2023-06-04,37
2023-06-11,35
2023-06-18,38
2023-06-25,100
2023-07-02,39
2023-07-09,72
2023-07-16,40
2023-07-23,40
2023-07-30,40
2023-08-06,64
2023-08-13,32
2023-08-20,36
2023-08-27,39
2023-09-03,23
2023-09-10,37
2023-09-17,40
2023-09-24,52
2023-10-01,37
2023-10-08,41
2023-10-15,46
2023-10-22,48
2023-10-29,36
