Catégorie : Toutes catégories

Semaine,Russell Crowe: (États-Unis)
2022-11-13,33
2022-11-20,42
2022-11-27,33
2022-12-04,30
2022-12-11,33
2022-12-18,47
2022-12-25,97
2023-01-01,51
2023-01-08,36
2023-01-15,31
2023-01-22,37
2023-01-29,39
2023-02-05,34
2023-02-12,34
2023-02-19,42
2023-02-26,58
2023-03-05,36
2023-03-12,45
2023-03-19,46
2023-03-26,48
2023-04-02,64
2023-04-09,73
2023-04-16,64
2023-04-23,55
2023-04-30,52
2023-05-07,51
2023-05-14,43
2023-05-21,40
2023-05-28,39
2023-06-04,42
2023-06-11,41
2023-06-18,51
2023-06-25,40
2023-07-02,55
2023-07-09,44
2023-07-16,40
2023-07-23,42
2023-07-30,39
2023-08-06,42
2023-08-13,75
2023-08-20,100
2023-08-27,57
2023-09-03,59
2023-09-10,58
2023-09-17,46
2023-09-24,44
2023-10-01,43
2023-10-08,48
2023-10-15,43
2023-10-22,37
2023-10-29,41
