Catégorie : Toutes catégories

Semaine,Robert Downey Jr.: (États-Unis)
2022-11-13,42
2022-11-20,46
2022-11-27,39
2022-12-04,57
2022-12-11,45
2022-12-18,41
2022-12-25,42
2023-01-01,43
2023-01-08,36
2023-01-15,32
2023-01-22,42
2023-01-29,31
2023-02-05,26
2023-02-12,25
2023-02-19,34
2023-02-26,37
2023-03-05,37
2023-03-12,36
2023-03-19,25
2023-03-26,29
2023-04-02,27
2023-04-09,26
2023-04-16,26
2023-04-23,25
2023-04-30,23
2023-05-07,28
2023-05-14,34
2023-05-21,23
2023-05-28,30
2023-06-04,34
2023-06-11,29
2023-06-18,42
2023-06-25,40
2023-07-02,37
2023-07-09,44
2023-07-16,85
2023-07-23,100
2023-07-30,77
2023-08-06,56
2023-08-13,46
2023-08-20,34
2023-08-27,27
2023-09-03,33
2023-09-10,26
2023-09-17,19
2023-09-24,26
2023-10-01,22
2023-10-08,28
2023-10-15,89
2023-10-22,30
2023-10-29,29
2023-11-05,30
