Catégorie : Toutes catégories

Semaine,Nicole Kidman: (États-Unis)
2022-11-13,21
2022-11-20,26
2022-11-27,33
2022-12-04,26
2022-12-11,24
2022-12-18,28
2022-12-25,30
2023-01-01,22
2023-01-08,26
2023-01-15,25
2023-01-22,24
2023-01-29,24
2023-02-05,25
2023-02-12,26
2023-02-19,24
2023-02-26,24
2023-03-05,25
2023-03-12,100
2023-03-19,31
2023-03-26,32
2023-04-02,29
2023-04-09,26
2023-04-16,24
2023-04-23,28
2023-04-30,37
2023-05-07,27
2023-05-14,25
2023-05-21,28
2023-05-28,26
2023-06-04,23
2023-06-11,24
2023-06-18,26
2023-06-25,27
2023-07-02,27
2023-07-09,27
2023-07-16,40
2023-07-23,40
2023-07-30,35
2023-08-06,36
2023-08-13,34
2023-08-20,33
2023-08-27,34
2023-09-03,35
2023-09-10,56
2023-09-17,31
2023-09-24,27
2023-10-01,30
2023-10-08,31
2023-10-15,33
2023-10-22,29
2023-10-29,29
2023-11-05,21
