Catégorie : Toutes catégories

Semaine,J.K. Rowling: (États-Unis)
2022-11-13,42
2022-11-20,43
2022-11-27,40
2022-12-04,34
2022-12-11,46
2022-12-18,60
2022-12-25,54
2023-01-01,38
2023-01-08,56
2023-01-15,43
2023-01-22,51
2023-01-29,40
2023-02-05,100
2023-02-12,89
2023-02-19,73
2023-02-26,69
2023-03-05,68
2023-03-12,43
2023-03-19,55
2023-03-26,68
2023-04-02,60
2023-04-09,49
2023-04-16,71
2023-04-23,51
2023-04-30,65
2023-05-07,38
2023-05-14,48
2023-05-21,39
2023-05-28,31
2023-06-04,30
2023-06-11,32
2023-06-18,32
2023-06-25,29
2023-07-02,19
2023-07-09,27
2023-07-16,26
2023-07-23,25
2023-07-30,20
2023-08-06,21
2023-08-13,30
2023-08-20,30
2023-08-27,19
2023-09-03,23
2023-09-10,43
2023-09-17,38
2023-09-24,25
2023-10-01,34
2023-10-08,29
2023-10-15,37
2023-10-22,28
2023-10-29,37
2023-11-05,28
