Catégorie : Toutes catégories

Semaine,Elton John: (États-Unis)
2022-11-13,42
2022-11-20,100
2022-11-27,21
2022-12-04,18
2022-12-11,15
2022-12-18,15
2022-12-25,18
2023-01-01,13
2023-01-08,12
2023-01-15,11
2023-01-22,11
2023-01-29,12
2023-02-05,12
2023-02-12,12
2023-02-19,11
2023-02-26,10
2023-03-05,11
2023-03-12,12
2023-03-19,13
2023-03-26,13
2023-04-02,11
2023-04-09,10
2023-04-16,10
2023-04-23,11
2023-04-30,11
2023-05-07,12
2023-05-14,12
2023-05-21,11
2023-05-28,13
2023-06-04,12
2023-06-11,11
2023-06-18,12
2023-06-25,20
2023-07-02,14
2023-07-09,23
2023-07-16,12
2023-07-23,12
2023-07-30,10
2023-08-06,15
2023-08-13,10
2023-08-20,10
2023-08-27,23
2023-09-03,11
2023-09-10,9
2023-09-17,10
2023-09-24,9
2023-10-01,9
2023-10-08,9
2023-10-15,11
2023-10-22,10
2023-10-29,11
2023-11-05,11
