Catégorie : Toutes catégories

Semaine,Patrick Leahy: (États-Unis)
2022-11-06,72
2022-11-13,70
2022-11-20,29
2022-11-27,31
2022-12-04,50
2022-12-11,47
2022-12-18,100
2022-12-25,60
2023-01-01,58
2023-01-08,39
2023-01-15,19
2023-01-22,26
2023-01-29,16
2023-02-05,21
2023-02-12,14
2023-02-19,28
2023-02-26,14
2023-03-05,17
2023-03-12,20
2023-03-19,17
2023-03-26,20
2023-04-02,21
2023-04-09,8
2023-04-16,9
2023-04-23,8
2023-04-30,16
2023-05-07,17
2023-05-14,13
2023-05-21,10
2023-05-28,11
2023-06-04,25
2023-06-11,17
2023-06-18,6
2023-06-25,11
2023-07-02,10
2023-07-09,15
2023-07-16,11
2023-07-23,13
2023-07-30,6
2023-08-06,13
2023-08-13,15
2023-08-20,14
2023-08-27,18
2023-09-03,15
2023-09-10,8
2023-09-17,11
2023-09-24,20
2023-10-01,15
2023-10-08,4
2023-10-15,18
2023-10-22,25
2023-10-29,21
