Catégorie : Toutes catégories

Semaine,Rascal Flatts: (États-Unis)
2022-11-13,63
2022-11-20,68
2022-11-27,52
2022-12-04,55
2022-12-11,56
2022-12-18,62
2022-12-25,70
2023-01-01,100
2023-01-08,84
2023-01-15,63
2023-01-22,61
2023-01-29,54
2023-02-05,72
2023-02-12,65
2023-02-19,58
2023-02-26,56
2023-03-05,63
2023-03-12,53
2023-03-19,66
2023-03-26,56
2023-04-02,63
2023-04-09,56
2023-04-16,59
2023-04-23,69
2023-04-30,62
2023-05-07,57
2023-05-14,67
2023-05-21,65
2023-05-28,61
2023-06-04,64
2023-06-11,63
2023-06-18,65
2023-06-25,80
2023-07-02,67
2023-07-09,60
2023-07-16,82
2023-07-23,55
2023-07-30,60
2023-08-06,49
2023-08-13,57
2023-08-20,53
2023-08-27,49
2023-09-03,47
2023-09-10,55
2023-09-17,55
2023-09-24,43
2023-10-01,45
2023-10-08,49
2023-10-15,47
2023-10-22,56
2023-10-29,44
2023-11-05,49
