Catégorie : Toutes catégories

Semaine,Ramón Rodríguez: (États-Unis)
2022-11-13,3
2022-11-20,0
2022-11-27,0
2022-12-04,4
2022-12-11,9
2022-12-18,22
2022-12-25,13
2023-01-01,100
2023-01-08,83
2023-01-15,84
2023-01-22,66
2023-01-29,41
2023-02-05,29
2023-02-12,24
2023-02-19,35
2023-02-26,25
2023-03-05,16
2023-03-12,17
2023-03-19,17
2023-03-26,37
2023-04-02,26
2023-04-09,24
2023-04-16,36
2023-04-23,29
2023-04-30,33
2023-05-07,29
2023-05-14,18
2023-05-21,0
2023-05-28,3
2023-06-04,5
2023-06-11,6
2023-06-18,19
2023-06-25,10
2023-07-02,6
2023-07-09,10
2023-07-16,6
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,6
2023-08-20,4
2023-08-27,3
2023-09-03,4
2023-09-10,0
2023-09-17,4
2023-09-24,8
2023-10-01,0
2023-10-08,10
2023-10-15,0
2023-10-22,0
2023-10-29,10
2023-11-05,0
