Catégorie : Toutes catégories

Semaine,Stephen King: (États-Unis)
2022-11-13,48
2022-11-20,58
2022-11-27,50
2022-12-04,47
2022-12-11,54
2022-12-18,48
2022-12-25,49
2023-01-01,46
2023-01-08,47
2023-01-15,50
2023-01-22,47
2023-01-29,60
2023-02-05,47
2023-02-12,44
2023-02-19,47
2023-02-26,45
2023-03-05,40
2023-03-12,44
2023-03-19,45
2023-03-26,48
2023-04-02,45
2023-04-09,45
2023-04-16,52
2023-04-23,49
2023-04-30,43
2023-05-07,47
2023-05-14,45
2023-05-21,49
2023-05-28,69
2023-06-04,57
2023-06-11,56
2023-06-18,48
2023-06-25,50
2023-07-02,48
2023-07-09,48
2023-07-16,48
2023-07-23,48
2023-07-30,47
2023-08-06,49
2023-08-13,51
2023-08-20,49
2023-08-27,53
2023-09-03,81
2023-09-10,74
2023-09-17,77
2023-09-24,71
2023-10-01,100
2023-10-08,84
2023-10-15,76
2023-10-22,79
2023-10-29,75
2023-11-05,54
