Catégorie : Toutes catégories

Semaine,Dane Cook: (États-Unis)
2022-11-13,20
2022-11-20,19
2022-11-27,23
2022-12-04,20
2022-12-11,20
2022-12-18,26
2022-12-25,27
2023-01-01,24
2023-01-08,23
2023-01-15,18
2023-01-22,23
2023-01-29,23
2023-02-05,34
2023-02-12,18
2023-02-19,21
2023-02-26,18
2023-03-05,18
2023-03-12,21
2023-03-19,21
2023-03-26,23
2023-04-02,18
2023-04-09,16
2023-04-16,18
2023-04-23,22
2023-04-30,16
2023-05-07,19
2023-05-14,18
2023-05-21,16
2023-05-28,20
2023-06-04,18
2023-06-11,18
2023-06-18,15
2023-06-25,17
2023-07-02,18
2023-07-09,22
2023-07-16,38
2023-07-23,24
2023-07-30,21
2023-08-06,20
2023-08-13,23
2023-08-20,28
2023-08-27,23
2023-09-03,22
2023-09-10,18
2023-09-17,16
2023-09-24,100
2023-10-01,28
2023-10-08,21
2023-10-15,24
2023-10-22,23
2023-10-29,22
2023-11-05,18
