Catégorie : Toutes catégories

Semaine,Ariana Grande: (États-Unis)
2022-11-20,36
2022-11-27,39
2022-12-04,37
2022-12-11,39
2022-12-18,43
2022-12-25,40
2023-01-01,31
2023-01-08,27
2023-01-15,29
2023-01-22,27
2023-01-29,25
2023-02-05,28
2023-02-12,28
2023-02-19,28
2023-02-26,23
2023-03-05,23
2023-03-12,22
2023-03-19,22
2023-03-26,25
2023-04-02,25
2023-04-09,91
2023-04-16,38
2023-04-23,27
2023-04-30,25
2023-05-07,26
2023-05-14,25
2023-05-21,22
2023-05-28,22
2023-06-04,21
2023-06-11,21
2023-06-18,22
2023-06-25,27
2023-07-02,22
2023-07-09,19
2023-07-16,100
2023-07-23,91
2023-07-30,71
2023-08-06,44
2023-08-13,33
2023-08-20,35
2023-08-27,33
2023-09-03,27
2023-09-10,32
2023-09-17,30
2023-09-24,26
2023-10-01,27
2023-10-08,24
2023-10-15,21
2023-10-22,22
2023-10-29,21
2023-11-05,24
