Catégorie : Toutes catégories

Semaine,Dan Brown: (États-Unis)
2022-11-13,77
2022-11-20,78
2022-11-27,74
2022-12-04,87
2022-12-11,79
2022-12-18,94
2022-12-25,100
2023-01-01,94
2023-01-08,87
2023-01-15,88
2023-01-22,85
2023-01-29,84
2023-02-05,86
2023-02-12,80
2023-02-19,89
2023-02-26,77
2023-03-05,74
2023-03-12,81
2023-03-19,76
2023-03-26,78
2023-04-02,69
2023-04-09,78
2023-04-16,83
2023-04-23,71
2023-04-30,74
2023-05-07,68
2023-05-14,72
2023-05-21,72
2023-05-28,79
2023-06-04,68
2023-06-11,83
2023-06-18,84
2023-06-25,82
2023-07-02,79
2023-07-09,82
2023-07-16,83
2023-07-23,91
2023-07-30,77
2023-08-06,74
2023-08-13,88
2023-08-20,77
2023-08-27,83
2023-09-03,85
2023-09-10,96
2023-09-17,88
2023-09-24,82
2023-10-01,77
2023-10-08,68
2023-10-15,71
2023-10-22,77
2023-10-29,73
2023-11-05,83
