Catégorie : Toutes catégories

Semaine,Jeff Gordon: (États-Unis)
2022-11-13,19
2022-11-20,16
2022-11-27,18
2022-12-04,25
2022-12-11,22
2022-12-18,16
2022-12-25,20
2023-01-01,18
2023-01-08,18
2023-01-15,19
2023-01-22,29
2023-01-29,21
2023-02-05,30
2023-02-12,27
2023-02-19,41
2023-02-26,25
2023-03-05,24
2023-03-12,26
2023-03-19,24
2023-03-26,23
2023-04-02,24
2023-04-09,22
2023-04-16,25
2023-04-23,26
2023-04-30,36
2023-05-07,28
2023-05-14,39
2023-05-21,38
2023-05-28,36
2023-06-04,27
2023-06-11,26
2023-06-18,19
2023-06-25,25
2023-07-02,22
2023-07-09,24
2023-07-16,100
2023-07-23,39
2023-07-30,54
2023-08-06,30
2023-08-13,27
2023-08-20,21
2023-08-27,21
2023-09-03,26
2023-09-10,20
2023-09-17,20
2023-09-24,18
2023-10-01,20
2023-10-08,18
2023-10-15,22
2023-10-22,22
2023-10-29,23
2023-11-05,23
