Catégorie : Toutes catégories

Semaine,Usher: (États-Unis)
2022-11-13,5
2022-11-20,5
2022-11-27,5
2022-12-04,5
2022-12-11,5
2022-12-18,5
2022-12-25,5
2023-01-01,7
2023-01-08,6
2023-01-15,6
2023-01-22,5
2023-01-29,6
2023-02-05,6
2023-02-12,6
2023-02-19,8
2023-02-26,8
2023-03-05,7
2023-03-12,8
2023-03-19,7
2023-03-26,7
2023-04-02,7
2023-04-09,6
2023-04-16,8
2023-04-23,12
2023-04-30,15
2023-05-07,17
2023-05-14,8
2023-05-21,7
2023-05-28,7
2023-06-04,7
2023-06-11,7
2023-06-18,7
2023-06-25,7
2023-07-02,21
2023-07-09,18
2023-07-16,10
2023-07-23,7
2023-07-30,6
2023-08-06,8
2023-08-13,17
2023-08-20,11
2023-08-27,8
2023-09-03,9
2023-09-10,9
2023-09-17,10
2023-09-24,27
2023-10-01,15
2023-10-08,50
2023-10-15,100
2023-10-22,60
2023-10-29,44
2023-11-05,32
