Catégorie : Toutes catégories

Semaine,Pink: (États-Unis)
2022-11-13,79
2022-11-20,83
2022-11-27,78
2022-12-04,76
2022-12-11,79
2022-12-18,78
2022-12-25,88
2023-01-01,79
2023-01-08,79
2023-01-15,75
2023-01-22,81
2023-01-29,85
2023-02-05,97
2023-02-12,90
2023-02-19,90
2023-02-26,84
2023-03-05,82
2023-03-12,83
2023-03-19,75
2023-03-26,87
2023-04-02,89
2023-04-09,86
2023-04-16,83
2023-04-23,87
2023-04-30,84
2023-05-07,81
2023-05-14,86
2023-05-21,85
2023-05-28,87
2023-06-04,80
2023-06-11,82
2023-06-18,75
2023-06-25,87
2023-07-02,88
2023-07-09,83
2023-07-16,92
2023-07-23,100
2023-07-30,91
2023-08-06,88
2023-08-13,93
2023-08-20,83
2023-08-27,78
2023-09-03,78
2023-09-10,82
2023-09-17,80
2023-09-24,82
2023-10-01,82
2023-10-08,85
2023-10-15,85
2023-10-22,84
2023-10-29,79
2023-11-05,85
