Catégorie : Toutes catégories

Semaine,Danica Patrick: (États-Unis)
2022-11-13,19
2022-11-20,20
2022-11-27,23
2022-12-04,13
2022-12-11,13
2022-12-18,12
2022-12-25,13
2023-01-01,10
2023-01-08,14
2023-01-15,9
2023-01-22,10
2023-01-29,12
2023-02-05,14
2023-02-12,18
2023-02-19,33
2023-02-26,17
2023-03-05,51
2023-03-12,87
2023-03-19,21
2023-03-26,18
2023-04-02,12
2023-04-09,12
2023-04-16,14
2023-04-23,14
2023-04-30,17
2023-05-07,34
2023-05-14,15
2023-05-21,17
2023-05-28,48
2023-06-04,15
2023-06-11,21
2023-06-18,27
2023-06-25,31
2023-07-02,24
2023-07-09,31
2023-07-16,32
2023-07-23,29
2023-07-30,23
2023-08-06,30
2023-08-13,24
2023-08-20,17
2023-08-27,28
2023-09-03,23
2023-09-10,22
2023-09-17,100
2023-09-24,21
2023-10-01,21
2023-10-08,17
2023-10-15,18
2023-10-22,24
2023-10-29,17
2023-11-05,13
