Catégorie : Toutes catégories

Semaine,Bill Maher: (États-Unis)
2022-11-13,38
2022-11-20,25
2022-11-27,15
2022-12-04,15
2022-12-11,13
2022-12-18,12
2022-12-25,14
2023-01-01,21
2023-01-08,24
2023-01-15,40
2023-01-22,41
2023-01-29,60
2023-02-05,44
2023-02-12,47
2023-02-19,45
2023-02-26,100
2023-03-05,81
2023-03-12,51
2023-03-19,43
2023-03-26,46
2023-04-02,40
2023-04-09,33
2023-04-16,47
2023-04-23,51
2023-04-30,54
2023-05-07,45
2023-05-14,35
2023-05-21,25
2023-05-28,23
2023-06-04,22
2023-06-11,23
2023-06-18,18
2023-06-25,21
2023-07-02,19
2023-07-09,16
2023-07-16,16
2023-07-23,17
2023-07-30,19
2023-08-06,30
2023-08-13,20
2023-08-20,17
2023-08-27,19
2023-09-03,46
2023-09-10,43
2023-09-17,44
2023-09-24,36
2023-10-01,40
2023-10-08,34
2023-10-15,38
2023-10-22,41
2023-10-29,35
2023-11-05,50
