Catégorie : Toutes catégories

Semaine,Steve Carell: (États-Unis)
2022-11-13,86
2022-11-20,80
2022-11-27,72
2022-12-04,65
2022-12-11,96
2022-12-18,83
2022-12-25,95
2023-01-01,100
2023-01-08,97
2023-01-15,95
2023-01-22,90
2023-01-29,94
2023-02-05,94
2023-02-12,80
2023-02-19,74
2023-02-26,67
2023-03-05,70
2023-03-12,67
2023-03-19,65
2023-03-26,73
2023-04-02,70
2023-04-09,71
2023-04-16,62
2023-04-23,77
2023-04-30,78
2023-05-07,56
2023-05-14,61
2023-05-21,59
2023-05-28,72
2023-06-04,71
2023-06-11,69
2023-06-18,62
2023-06-25,83
2023-07-02,78
2023-07-09,71
2023-07-16,81
2023-07-23,72
2023-07-30,70
2023-08-06,74
2023-08-13,80
2023-08-20,76
2023-08-27,84
2023-09-03,77
2023-09-10,76
2023-09-17,73
2023-09-24,75
2023-10-01,71
2023-10-08,71
2023-10-15,64
2023-10-22,55
2023-10-29,80
2023-11-05,78
